symbol,last price,1yr target,div/share,beta 5y
USIO,1.9,4.25,0,-0.03
OPRA,9.79,17.5,0,0.02
RDWR,24.69,31.42,0,0.9
SCWX,15.13,14.11,0,1.06
VRNS,76.89,83.69,0,0.93
ZIXI,6.69,11.8,0,0.97
ATEN,7.07,9.5,0,0.73
CARB,22.98,23.25,0,1.81
TLND,39.34,52.17,0,-0.13
CSGS,51.74,57.33,0.88,1.56
EPAY,53.68,52.83,0,1.64
ALTR,34.95,35.71,0,1.86
VRNT,53.49,68,0,0.93
ACIW,37.54,41.25,0,1.35
JCOM,93.09,110.33,1.33,0.8
MFGP,14.05,17,0.42,1.1
PLAN,53.07,65,0,1.09
GDDY,68.48,86.54,0,0.67
AKAM,84.51,96.11,0,1.42
ORCL,53.24,56.08,0.91,0.21
